,Portfolio Value,Cash,Units
354,9821.83424206759,28365.0,-32.10193836619989
355,9826.588539139626,28365.0,-32.10193836619989
356,9822.47307064108,28365.0,-32.10193836619989
357,9824.402397136886,28365.0,-32.10193836619989
358,9820.22914514928,28365.0,-32.10193836619989
359,9820.22914514928,28365.0,-32.10193836619989
360,9819.266086998296,28365.0,-32.10193836619989
361,9821.031693608436,28365.0,-32.10193836619989
362,9824.081377753226,28365.0,-32.10193836619989
363,9823.599848677732,28365.0,-32.10193836619989
364,9820.550164532942,28365.0,-32.10193836619989
365,9821.83424206759,28365.0,-32.10193836619989
366,9826.649532822521,28365.0,-32.10193836619989
367,9826.328513438859,28365.0,-32.10193836619989
368,9829.535497081642,28365.0,-32.10193836619989
369,9826.970552206181,28365.0,-32.10193836619989
370,9826.007494055197,28365.0,-32.10193836619989
371,9827.872616674274,28365.0,-32.10193836619989
372,9833.711959263086,28365.0,-32.10193836619989
373,9837.56419186703,28365.0,-32.10193836619989
374,9832.427881728436,28365.0,-32.10193836619989
375,9825.365455287874,28365.0,-32.10193836619989
376,9828.575649124492,28365.0,-32.10193836619989
377,9826.328513438859,28365.0,-32.10193836619989
378,9826.649532822521,28365.0,-32.10193836619989
379,9825.365455287874,28365.0,-32.10193836619989
380,9821.192203300268,28365.0,-32.10193836619989
381,9818.62404823097,28365.0,-32.10193836619989
382,9822.155261451253,28365.0,-32.10193836619989
383,9817.821499771817,28365.0,-32.10193836619989
384,9817.660990079985,28365.0,-32.10193836619989
385,9820.22914514928,28365.0,-32.10193836619989
386,9822.476280834915,28365.0,-32.10193836619989
387,9820.453858717845,28365.0,-32.10193836619989
388,9820.389654841112,28365.0,-32.10193836619989
389,9819.587106381958,28365.0,-32.10193836619989
390,9816.055893161674,28365.0,-32.10193836619989
391,9815.275816059377,28365.0,-32.10193836619989
392,9814.771815627026,28365.0,-32.10193836619989
393,9817.018951312662,28365.0,-32.10193836619989
394,9818.945067614632,28365.0,-32.10193836619989
395,9816.376912545336,28365.0,-32.10193836619989
396,9811.237392212908,28365.0,-32.10193836619989
397,9810.27754425576,28365.0,-32.10193836619989
398,9809.317696298609,28365.0,-32.10193836619989
